Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1_1,Internal,Alert types,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Build,Chipset,GPU,Models,NFC,Charging,SAR,5G,Triple,Dual,Features_1,Performance,Display,Camera,Loudspeaker_1,Battery life,Quad,Audio quality,Triple_1,Keyboard,Languages
b'samsung',b'Samsung Galaxy Tab 4 10.1 LTE',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-4-101.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2014, April'","b'Available. Released 2014, June'",b'243.4 x 176.4 x 8 mm (9.58 x 6.94 x 0.31 in)',b'487 g (1.07 lb)',b'Micro-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~68.9% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~149 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,b'3.15 MP',,b'720p@30fps',b'1.3 MP',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',b'Accelerometer',,,,,b'HDMI port',b'Non-removable Li-Po 6800 mAh battery',,,b'Up to 208 h',"b'White, Black'",b'About 310 EUR',,,,"b'16 GB, 1.5 GB RAM'",,,,b'0.75 W/kg (body)',b'Android 4.4.2 (KitKat); TouchWiz UX UI',b'Quad-core 1.2 GHz',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)'",,,,b'SM-T535',,,b'1.50 W/kg (body)',,,,,,,,,,,,,,
b'samsung',b'Samsung G3812B Galaxy S3 Slim',b'https://cdn2.gsmarena.com/vv/bigpic/Samsung-G3812B-Galaxy-S3-Slim.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 2100',b'HSPA 21.1/5.76 Mbps',"b'2014, March'","b'Available. Released 2014, March'",b'133 x 66 x 9.7 mm (5.24 x 2.60 x 0.38 in)',b'139 g (4.90 oz)',b'Micro-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'4.52 inches, 56.3 cm2 (~64.2% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~244 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'5 MP, AF'",b'LED flash',b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR, aptX'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,b'Removable Li-Ion 2100 mAh battery',,,,,"b'Black, White'",b'About 200 EUR',,,,"b'8 GB, 1 GB RAM'",,,,b'0.55 W/kg (head) \xc2\xa0 \xc2\xa0 0.40 W/kg (body)',b'Android 4.2 (Jelly Bean); TouchWiz UI',b'Quad-core 1.2 GHz',,,,,,,b'SM-G3812B',,,b'0.61 W/kg (head) \xc2\xa0 \xc2\xa0 1.13 W/kg (body)',,,,,,,,,,,,,,
b'samsung',b'Samsung I8200 Galaxy S III mini VE',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s3-mini-value-edition-i8200.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',"b'2014, March'","b'Available. Released 2014, March'",b'121.6 x 63 x 9.9 mm (4.79 x 2.48 x 0.39 in)',b'112 g (3.95 oz)',b'Mini-SIM',"b'Super AMOLED capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~59.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'5 MP, AF'","b'LED flash, panorama'",b'720p@30fps',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR, LE, aptX'","b'Yes, with A-GPS, GLONASS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,b'Removable Li-Ion 1500 mAh battery',,b'Up to 320 h (3G)',b'Up to 8 h (3G)',b'Up to 57 h',"b'White, Blue, Gray, Black'",b'About 180 EUR',,,,"b'8/16 GB, 1 GB RAM'",,,,b'0.64 W/kg (head) \xc2\xa0 \xc2\xa0 0.53 W/kg (body)',b'Android 4.2.2 (Jelly Bean)',b'1.2 GHz dual-core Cortex-A9',,,,,,,"b'GT-I8200, GT-I8200N'",b'Yes (I8200N only)',,b'1.14 W/kg (head) \xc2\xa0 \xc2\xa0 1.24 W/kg (body)',,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy S5 Duos',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s5-sm-g9009.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE'","b'2014, June'","b'Available. Released 2014, June'",b'142 x 72.5 x 8.1 mm (5.59 x 2.85 x 0.32 in)',b'145 g (5.11 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'5.1 inches, 71.7 cm2 (~69.6% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~432 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'16 MP, f/2.2, 31mm (standard), 1/2.6"", 1.12\xc2\xb5m, PDAF'","b'LED flash, panorama, HDR'","b'2160p@30fps, 1080p@60fps, HDR, dual-video rec.'","b'2 MP, f/2.4, 22mm (wide)'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'microUSB 3.0 (MHL 2.1 TV-out), USB Host'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, heart rate'",,,,,b'IP67 dust/water resistant (up to 1m for 30 mins)',b'24-bit/192kHz audio Active noise cancellation with dedicated mic',,b'Up to 21 h (3G)',b'Up to 67 h',"b'Charcoal Black, Shimmery White, Electric Blue and Copper Gold'",b'About 420 EUR',,,b'Removable Li-Ion 2800 mAh battery',"b'16 GB, 2 GB RAM'",,b'Corning Gorilla Glass 3',b'Yes',b'0.73 W/kg (head) \xc2\xa0 \xc2\xa0 0.28 W/kg (body)',b'Android 4.4.2 (KitKat); TouchWiz UI',b'Quad-core 2.5 GHz Krait 400',,,"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800)'",,b'Qualcomm MSM8974AC Snapdragon 801 (28 nm)',b'Adreno 330',b'SM-G900FD',b'Yes',b'Qi wireless charging (market dependent)',b'1.15 W/kg (head) \xc2\xa0 \xc2\xa0 1.50 W/kg (body)',,,,b'Dual video call',,,,,,,,,,
b'samsung',b'Samsung Galaxy S5 (octa-core)',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s5-g900f.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 42.2/5.76 Mbps',"b'2014, March'","b'Available. Released 2014, April'",b'142 x 72.5 x 8.1 mm (5.59 x 2.85 x 0.32 in)',b'145 g (5.11 oz)',b'Micro-SIM',"b'Super AMOLED capacitive touchscreen, 16M colors'","b'5.1 inches, 71.7 cm2 (~69.6% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~432 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'16 MP, 1/2.6"", 1.12\xc2\xb5m, PDAF'","b'LED flash, panorama, HDR'","b'2160p@30fps, 1080p@60fps, HDR, dual-video rec.'",b'2 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR, LE, aptX'","b'Yes, with A-GPS, GLONASS'",b'No',"b'microUSB 3.0 (MHL 2.1 TV-out), USB Host'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, heart rate'",,,,,b'IP67 dust/water resistant (up to 1m for 30 mins)',b'Active noise cancellation with dedicated mic',,b'Up to 16 h',b'Up to 46 h',"b'Charcoal Black, Copper Gold, Electric Blue, Shimmery White'",b'About 380 EUR',,,b'Removable Li-Ion 2800 mAh battery',"b'16/32 GB, 2 GB RAM'",,b'Corning Gorilla Glass 3',b'Yes',b'0.48 W/kg (head) \xc2\xa0 \xc2\xa0 0.33 W/kg (body)',"b'Android 4.4.2 (KitKat), upgradable to 6.0.1 (Marshmallow); TouchWiz UI'",b'Octa-core (4x1.9 GHz Cortex-A15 & 4x1.3 GHz Cortex-A7)',,,,,b'Exynos 5422 Octa',b'Mali-T628 MP6',b'SM-G900H',b'Yes',b'Qi wireless charging (market dependent)',b'1.03 W/kg (head) \xc2\xa0 \xc2\xa0 1.26 W/kg (body)',,,,b'Dual video call',,,,,,,,,,
b'samsung',b'Samsung Galaxy S5 (USA)',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s5-cdma1.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'CDMA 800 / 1900  - all versions',b'CDMA2000 1xEV-DO  - all versions',"b'EV-DO Rev.A 3.1 Mbps, LTE-A Cat4 150/50 Mbps, HSPA'","b'2014, February'","b'Available. Released 2014, April'",b'142 x 72.4 x 7.9 mm (5.59 x 2.85 x 0.31 in)',b'144.9 g (5.11 oz)',b'Micro-SIM',"b'Super AMOLED capacitive touchscreen, 16M colors'","b'5.1 inches, 71.7 cm2 (~69.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~432 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'16 MP, 1/2.6"", 1.12\xc2\xb5m, PDAF'","b'LED flash, panorama, HDR'","b'2160p@30fps, 1080p@60fps, HDR, dual-video rec.'",b'2 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR, LE, aptX'","b'Yes, with A-GPS, GLONASS'",b'No',"b'microUSB 3.0 (MHL 2.1 TV-out), USB Host'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, heart rate'",,,,,"b'GSM 850 / 900 / 1800 / 1900 - SM-G900V, SM-G900P'","b'HSDPA 850 / 900 / 1900 / 2100 - SM-G900V, SM-G900P'",b'Up to 480 h',b'Up to 27 h',b'Up to 77 h',"b'Charcoal Black, Shimmery White'",b'About 480 EUR',,,b'Removable Li-Ion 2800 mAh battery',"b'16 GB, 2 GB RAM'",,b'Corning Gorilla Glass 3',b'Yes',b'0.50 W/kg (head) \xc2\xa0 \xc2\xa0 0.47 W/kg (body)',"b'Android 4.4.2 (KitKat), upgradable to 5.0.1 (Lollipop); TouchWiz UI'",b'Quad-core 2.5 GHz Krait 400',,,"b'LTE band 4(1700/2100), 13(700) - SM-G900V'",,b'Qualcomm MSM8974AC Snapdragon 801 (28 nm)',b'Adreno 330',"b'SM-G900V, SM-G900R4, SM-G900P'",b'Yes',b'PMA wireless charging',b'1.07 W/kg (head) \xc2\xa0 \xc2\xa0 1.47 W/kg (body)',,,,b'Dual video call',,,,,,,,,,
b'samsung',b'Samsung Galaxy S5',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s5-g900f.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps'","b'2014, February. Released 2014, April'",b'Discontinued',b'142 x 72.5 x 8.1 mm (5.59 x 2.85 x 0.32 in)',b'145 g (5.11 oz)',b'Micro-SIM',"b'Super AMOLED capacitive touchscreen, 16M colors'","b'5.1 inches, 71.7 cm2 (~69.6% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~432 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'16 MP, f/2.2, 31mm (standard), 1/2.6"", 1.12\xc2\xb5m, PDAF'","b'LED flash, panorama, HDR'","b'2160p@30fps, 1080p@60fps, 720p@120fps, HDR, dual-video rec.'","b'2 MP, f/2.4, 22mm (wide)'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'microUSB 3.0 (MHL 2.1 TV-out), USB Host'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, heart rate'",,,,,b'IP67 dust/water resistant (up to 1m for 30 mins)',b'24-bit/192kHz audio Active noise cancellation with dedicated mic',b'Up to 390 h',b'Up to 21 h',b'Up to 67 h',"b'Charcoal Black, Copper Gold, Electric Blue, Shimmery White'",b'About 250 EUR',,,b'Removable Li-Ion 2800 mAh battery',"b'16/32 GB, 2 GB RAM'",,b'Corning Gorilla Glass 3',b'Yes',b'0.56 W/kg (head) \xc2\xa0 \xc2\xa0 0.41 W/kg (body)',"b'Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow); TouchWiz UI'",b'Quad-core 2.5 GHz Krait 400',,,"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800)'",b'Plastic body',b'Qualcomm MSM8974AC Snapdragon 801 (28 nm)',b'Adreno 330',"b'SM-G900F, SM-G900I, SM-G900M, SM-G900T, SM-G900W8, SM-G900H, SM-G900FD, SM-G900P, SM-G900A, SC-04F, SM-G9008W, SM-G900L, SM-G900FQ, SM-G900K, SM-G900S, SCL23'",b'Yes',b'Qi/PMA wireless charging (market dependent)',b'1.20 W/kg (head) \xc2\xa0 \xc2\xa0 1.58 W/kg (body)',,,,b'Dual video call',b'Basemark OS II: 1082 / Basemark OS II 2.0: 1060Basemark X: 11744',"b'Contrast ratio: Infinite (nominal),  3.549 (sunlight)'",b'Photo / Video',b'Voice 66dB / Noise 66dB / Ring 75dB',b'Endurance rating 83h',,b'Noise -96.3dB / Crosstalk -95.2dB',,,
b'samsung',b'Samsung Galaxy Core LTE G386W',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-core-lte.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700 / 1900 / 2100',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2014, November'","b'Available. Released 2014, November'",b'132.9 x 66.3 x 10 mm (5.23 x 2.61 x 0.39 in)',b'137 g (4.83 oz)',b'Micro-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'4.5 inches, 55.8 cm2 (~63.4% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,"b'5 MP, AF'",b'LED flash',b'720p@30fps',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,b'ANT+',b'Removable Li-Ion 2100 mAh battery',,b'Up to 13 h (3G)',b'Up to 59 h',"b'White, Black'",b'About 180 EUR',,,,"b'16 GB, 1.5 GB RAM'",,,,b'0.45 W/kg (head) \xc2\xa0 \xc2\xa0 0.25 W/kg (body)',b'Android 4.4.2 (KitKat)',b'Quad-core 1.2 GHz',,,"b'LTE band 1(2100), 2(1900), 4(1700/2100), 5(850), 12(700), 17(700)'",,,,b'SM-G386W',b'Yes',,b'0.54 W/kg (head) \xc2\xa0 \xc2\xa0 1.10 W/kg (body)',,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy Core LTE',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-core-lte.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2014, February'","b'Available. Released 2014, May'",b'132.9 x 66.3 x 9.8 mm (5.23 x 2.61 x 0.39 in)',b'137 g (4.83 oz)',b'Micro-SIM',"b'PLS capacitive touchscreen, 16M colors'","b'4.5 inches, 55.8 cm2 (~63.4% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,"b'5 MP, AF'",b'LED flash',b'720p@30fps',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,b'Removable Li-Ion 2100 mAh battery',,b'Up to 540 h (3G)',b'Up to 11 h (3G)',b'Up to 64 h',"b'White, Black'",b'About 260 EUR',,,,"b'8 GB,  1 GB RAM'",,,,b'0.40 W/kg (head) \xc2\xa0 \xc2\xa0 0.39 W/kg (body)',b'Android 4.2.2 (Jelly Bean)',b'Dual-core 1.2 GHz',,,"b'LTE band 3(1800), 7(2600), 20(800)'",,,,"b'SM-G386F, SM-G386T1'",b'Yes',,b'0.46 W/kg (head) \xc2\xa0 \xc2\xa0 0.97 W/kg (body)',,,,,,,b'Photo / Video',,b'Endurance rating 62h',,,,,
b'samsung',b'Samsung S5611',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-gt-s5611.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',b'HSPA',"b'2014, February'","b'Available. Released 2014, February'",b'118.9 x 49.7 x 12.9 mm (4.68 x 1.96 x 0.51 in)',b'91 g (3.21 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~30.2% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'","b'microSD, up to 16 GB (dedicated slot)'",b'Yes',b'Yes',"b'5 MP, AF'",b'LED flash',b'',,,b'Yes',b'Yes',b'No',"b'3.0, A2DP'",b'No',"b'Stereo FM radio, RDS, recording'",b'microUSB 2.0',b'',"b'SMS, MMS, Email, Push Email, IM'",,b'Yes',"b'Yes, MIDP 2.0'",b'No',b'SNS applications MP3/WMA/eAAC+ player MP4/H.263 player Organizer Voice memo Predictive text input',b'Up to 310 h (3G)',b'Up to 5 h (3G)',,"b'White, Gray, Dark blue'",b'About 70 EUR',,,b'Removable Li-Ion 1000 mAh battery',b'256 MB',,,,b'0.79 W/kg (head) \xc2\xa0 \xc2\xa0 0.39 W/kg (body)',,b'460 MHz',,,,,,,b'GT-S5611',,,b'0.44 W/kg (head) \xc2\xa0 \xc2\xa0 0.27 W/kg (body)',,,,,,,,,,,,,,
b'samsung',b'Samsung E1272',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-gt-e1272.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,"b'2013, Q4. Released 2013, Q4'",b'Discontinued',b'95 x 46.5 x 18 mm (3.74 x 1.83 x 0.71 in)',b'82.9 g (2.93 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 65K colors'","b'1.77 inches, 9.9 cm2 (~22.3% screen-to-body ratio)'",b'128 x 160 pixels (~116 ppi density)',b'No',b'Yes',b'Yes',,,,,,b'Yes',b'Yes',b'No',b'',b'No',b'FM radio',b'microUSB',b'',b'SMS',,b'No',b'',b'No',b'SNS applications MP3 player Photo viewer',b'Up to 610 h',b'Up to 11 h',,"b'Black, White, Red'",b'About 50 EUR',b'Yes',b'No',b'Removable Li-Ion 800 mAh battery',"b'32 MB, 64 MB'",,,,,,b'208 MHz',,,,,,,"b'gt-e1272, gt-e1270'",,,,,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy Star Trios S5283',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-star-trios-s5283.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3',b'HSDPA 850 / 2100',b'HSPA',"b'2014, February'","b'Available. Released 2014, May'",b'106 x 61 x 11 mm (4.17 x 2.40 x 0.43 in)',b'105 g (3.70 oz)',b'Triple SIM (Mini-SIM)',"b'TFT capacitive touchscreen, 256K colors'","b'3.14 inches, 30.5 cm2 (~47.2% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~127 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,b'2 MP',,b'480p',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, compass'",,,,,b'No',b'Removable Li-Ion 1300 mAh battery',,,,"b'Black, White'",b'About 120 EUR',,,,"b'4 GB, 512 MB RAM'",,,,b'0.96 W/kg (head) \xc2\xa0 \xc2\xa0 0.38 W/kg (body)',b'Android 4.1.2 (Jelly Bean)',b'1.0 GHz Cortex-A5',,,,,b'Qualcomm MSM7225A Snapdragon S1',b'Adreno 200',b'GT-S5283B',,,b'1.04 W/kg (head) \xc2\xa0 \xc2\xa0 1.16 W/kg (body)',,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy Note 3 Neo Duos',b'https://cdn2.gsmarena.com/vv/bigpic/-samsung-galaxy-note-3-neo-new1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',"b'2014, January'","b'Available. Released 2014, February'",b'148.4 x 77.4 x 8.6 mm (5.84 x 3.05 x 0.34 in)',b'162.5 g (5.71 oz)',"b'Dual SIM, (Micro-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~72.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,"b'8 MP, f/2.6, 31mm (standard), AF'","b'LED flash, panorama, HDR'","b'1080p@30fps, stereo sound rec.'","b'2 MP, f/2.4, 27mm (wide)'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, proximity, compass'",,,,,b'Stylus',b'Active noise cancellation with dedicated mic',b'Up to 440 h (3G)',b'Up to 22 h (3G)',b'Up to 87 h',"b'Black, White, Green'",b'About 410 EUR',,,b'Removable Li-Ion 3100 mAh battery',"b'16 GB (11 GB user available), 2 GB RAM'",,,,b'0.45 W/kg (head) \xc2\xa0 \xc2\xa0 0.42 W/kg (body)',b'Android 4.3 (Jelly Bean); TouchWiz UI',b'Quad-core 1.6 GHz Cortex-A7',,,,,b'Qualcomm MSM8228 Snapdragon 400 (28 nm)',b'Adreno 305',b'SM-N7502',,,b'0.81 W/kg (head) \xc2\xa0 \xc2\xa0 1.45 W/kg (body)',,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy Note 3 Neo',b'https://cdn2.gsmarena.com/vv/bigpic/-samsung-galaxy-note-3-neo-new1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - all versions',b'HSDPA 850 / 900 / 1900 / 2100 - SM-N7505',"b'HSPA 42.2(LTE)/21.1(3G)/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2014, January'","b'Available. Released 2014, February'",b'148.4 x 77.4 x 8.6 mm (5.84 x 3.05 x 0.34 in)',b'162.5 g (5.71 oz)',b'Micro-SIM',"b'Super AMOLED capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~72.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,"b'8 MP, f/2.6, 31mm (standard), AF'","b'LED flash, panorama, HDR'","b'1080p@30fps, stereo sound rec.'","b'2 MP, f/2.4, 27mm (wide)'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, proximity, compass'",,,,,b'HSDPA 900 / 1900 / 2100 - SM-N750',b'Stylus',b'Up to 540 h (3G)',b'Up to 18 h (3G)',b'Up to 64 h',"b'Black, White, Green, Pink, Red'",b'About 320 EUR',,,b'Removable Li-Ion 3100 mAh battery',"b'16 GB (11 GB user available), 2 GB RAM'",,,b'Yes',b'0.25 W/kg (head) \xc2\xa0 \xc2\xa0 0.27 W/kg (body)',"b'Android 4.3 (Jelly Bean), upgradable to 5.1.1 (Lollipop); TouchWiz UI'",b'Hexa-core (4x1.3 GHz Cortex A7 & 2x1.7 GHz Cortex A15)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - SM-N7505'",,b'Exynos 5260 Hexa',b'Mali-T624 MP4',"b'SM-N750, SM-N7505, SM-N750K'",b'Yes',,b'0.54 W/kg (head) \xc2\xa0 \xc2\xa0 0.70 W/kg (body)',,,,,,"b'Contrast ratio: Infinite (nominal), 3.487 (sunlight)'",b'Photo / Video',b'Voice 68dB / Noise 64dB / Ring 75dB',b'Endurance rating 74h',,b'Noise -96.1dB / Crosstalk -94.9dB',,,
